Company,Sector,Country,Website,Description
Avedian,Healthcare,Argentina,https://avedian.com,AI platform for pharma clinical operations and regulatory workflows.
ViewMind,Healthcare,Argentina,https://viewmind.ai,AI eye-tracking diagnostics for early detection of neurological diseases.
Liti,Healthcare,Brazil,https://liti.com.br,AI-driven personalized weight-loss and metabolic health program.
Munai,Healthcare,Brazil,https://munai.ai,AI platform for radiology and medical image analysis to accelerate diagnostics.
NeuralMed,Healthcare,Brazil,https://neuralmed.ai,AI platform for medical imaging diagnostics and radiology workflow automation.
Telepatia,Healthcare,Brazil,https://telepatia.ai,AI scribe that turns patient consultations into structured clinical notes.
Tivita,Healthcare,Brazil,https://tivita.com.br,AI clinical assistant that automates medical records and consultation notes.
Crook,Healthcare,Mexico,https://crookhealth.com,AI health assistant that connects patients with doctors and manages medical records.
Leona,Healthcare,Mexico,https://leonahealth.com,AI-powered women's health platform focused on hormonal and reproductive care.
SaludNow,Healthcare,Mexico,https://saludnow.mx,Digital primary-care platform combining AI triage with in-person clinics.
Yana,Healthcare,Mexico,https://www.yana.com,AI-powered mental health chatbot providing emotional support in Spanish.
Igual,Legal & Compliance,Brazil,https://igual.com.br,AI-powered legal operations platform automating repetitive lawyer tasks.
Lexter,Legal & Compliance,Brazil,https://lexter.ai,"AI assistant for lawyers that drafts petitions, contracts, and legal research."
Monico,Legal & Compliance,Mexico,https://monico.ai,AI compliance and KYC/AML automation for financial institutions.
Flipzen,Legal & Compliance,Uruguay,https://flipzen.com,AI contract review and management platform for legal teams.
Kua,Finance,Argentina,https://kua.com.ar,AI credit-scoring and lending automation for LatAm.
Moonflow,Finance,Argentina,https://moonflow.io,AI-driven collections and receivables automation platform.
Gaus,Finance,Brazil,https://gaus.com.br,AI platform for automated financial and treasury operations.
Jota,Finance,Brazil,https://jota.ai,AI copilot automating accounting and back-office finance.
Magie,Finance,Brazil,https://magie.ai,AI-powered personal finance banking assistant via WhatsApp.
